Coluna;IBGE Setor
Município-Minas Gerais;1 - Extrativa mineral;2 - Indústria de transformação;3 - Servicos industriais de utilidade pública;4 - Construção Civil;5 - Comércio;6 - Serviços;7 - Administração Pública;8 - Agropecuária, extração vegetal, caça e pesca;Total
310010:MG-ABADIA DOS DOURADOS;61989,1000000015;723804,33000001;3176,00999999978;31615,3399999999;354552,340000004;385909,699999999;780920,539999988;285210,399999996;2627177,76
310020:MG-ABAETE;13554,379999999;439246,999999993;0;209051,850000003;1824657,92000001;2394367,15999996;1450665,7500001;940252,429999997;7271796,49000006
310030:MG-ABRE CAMPO;28934,1200000048;141798,230000006;52992,5399999917;147694,800000002;688747,110000088;1143332,69000004;614496,310000014;263993,630000005;3081989,43000015
310040:MG-ACAIACA;65379,6899999985;36852,9200000018;0;7314;96301,0900000194;94357,1800000072;512730,680000022;37882,2199999997;850817,780000049
310050:MG-ACUCENA;0;8277,47000000067;0;708,889999999665;94243,9800000042;68485,580000001;461402,090000018;105403,669999998;738521,680000022
310060:MG-AGUA BOA;0;7737,40000000037;0;6149,94999999925;254682,78000001;188784,169999994;719961,859999979;227153,940000001;1404470,09999998
310070:MG-AGUA COMPRIDA;29392,8699999992;7388;0;0;47706,799999998;52918,4099999983;583207,19;451574,899999989;1172188,16999999
310080:MG-AGUANIL;0;289658,089999993;0;12417,2699999996;103098,520000011;191527,239999996;656108,589999966;152079,500000005;1404889,20999997
310090:MG-AGUAS FORMOSAS;0;489841,979999983;0;13498,2599999998;570017,560000031;1048011,45000002;1706754,11000002;203683,669999996;4031807,03000005
310100:MG-AGUAS VERMELHAS;8445,39999999851;20436,0300000012;0;15125;369297,220000011;259015,62999998;575635,940000031;336135,650000006;1584090,87000003
310110:MG-AIMORES;101843,069999991;864113,129999989;213091,160000019;19529,5;1039949,33000003;1752693,18000006;2251844,33000005;388673,200000014;6631736,90000015
310120:MG-AIURUOCA;5029,18999999948;185816,099999999;0;1100;226036,110000024;568317,360000032;679493,800000027;486004,539999993;2151797,10000007
310130:MG-ALAGOA;0;63518,2399999974;153476,680000022;0;62358,4199999981;86564,0000000075;519494,600000026;37519,1300000008;922931,070000052
310140:MG-ALBERTINA;0;128653,469999999;0;7852;153099,619999999;31279,2700000051;468046,579999999;103992,91;892923,850000002
310150:MG-ALEM PARAIBA;61042,349999994;496715,020000019;368597,550000063;301974,809999989;1931816,10000004;3783633,57999994;2818173,26999994;264318,459999994;10026271,14
310160:MG-ALFENAS;120333,889999993;6822255,8200001;146309,86999999;1631678,22000006;10008386,7100003;34299026,1600003;7217567,15999995;3888747,21000004;64134305,0400007
310163:MG-ALFREDO VASCONCELOS;6039,39000000246;146417,999999977;0;164149,079999997;239517,639999988;195542,360000012;640587,009999963;323658,029999989;1715911,50999993
310170:MG-ALMENARA;88448,0799999963;141000,050000008;161987,729999998;1882200,73999996;2210483,25000009;2872849,33000006;4641179,06999999;292805,75;12290954,0000001
310180:MG-ALPERCATA;82450,599999994;68010,2200000002;0;7314,79999999888;204849,14999999;178494,47999999;592849,100000009;129445,589999995;1263413,93999998
310190:MG-ALPINOPOLIS;165117,33;508643,969999989;0;87794,5799999973;1354964,45999999;1442402,58000002;1433372,03999996;474559,130000003;5466854,08999996
310200:MG-ALTEROSA;0;219414,809999991;0;35449,0999999978;550372,620000008;662022,599999983;1352961,50000001;246579,000000007;3066799,63
310205:MG-ALTO CAPARAO;0;7102,19999999925;0;6426,20000000112;193691,540000017;142196,139999988;645836,029999955;43708,4400000013;1038960,54999996
310210:MG-ALTO RIO DOCE;0;119831,969999999;0;20538,3399999999;218568,990000015;243607,570000019;872845,930000002;88551,6599999969;1563944,46000003
310220:MG-ALVARENGA;6284,75;1100;0;0;48485,8800000027;39137,2000000011;577315,860000003;0;672323,690000007
310230:MG-ALVINOPOLIS;20749,5300000031;2454356,62000015;0;54022,1300000027;651819,400000025;513547,76999999;1031116,99999998;221396,829999986;4947009,28000013
310240:MG-ALVORADA DE MINAS;1920;0;0;0;49114,7799999993;25611,3300000029;697205,479999973;87589,9299999978;861441,519999973
310250:MG-AMPARO DO SERRA;0;44225,6800000053;0;6056,72000000067;91784,6600000095;57701,7499999991;477150,479999978;92049,0400000066;768968,329999999
310260:MG-ANDRADAS;125667,640000001;9325736,87000017;51191,450000003;218340,209999992;3658623,01000013;3696096,72999997;3585419,44999994;3076178,07000007;23737253,4300003
310270:MG-CACHOEIRA DE PAJEU;0;10856,6699999999;0;35024,2899999972;201422,240000018;209877,170000015;912546,059999987;9900;1379626,43000002
310280:MG-ANDRELANDIA;0;310765,349999994;3078,69000000134;42806,990000003;605666,770000049;578636,359999985;1405689,58999999;704269,540000028;3650913,29000005
310285:MG-ANGELANDIA;0;48237,3200000022;0;188570,119999978;130035,350000002;47079,1000000015;751165,860000024;451088,060000011;1616175,81000002
310290:MG-ANTONIO CARLOS;1700;1240526,63999998;6016,96999999881;20672,9200000018;236052,570000019;276553,629999968;1103852,86000004;397014,229999996;3282389,82000001
310300:MG-ANTONIO DIAS;2629434,38999999;479384,49000001;0;140297,669999992;239319,250000011;377521,380000021;1223335,08999999;288590,130000005;5377882,40000003
310310:MG-ANTONIO PRADO DE MINAS;0;0;0;0;13807,8999999985;7171,8199999975;428351,060000029;20398,4999999981;469729,280000024
310320:MG-ARACAI;0;279330,370000008;0;3700;23284,9100000057;29161,6500000078;562424,029999956;72927,6599999964;970828,619999975
310330:MG-ARACITABA;0;27509,6799999997;0;0;17230,4499999974;9832,08000000194;370189,910000021;19019,0299999993;443781,150000019
310340:MG-ARACUAI;777359,109999996;219835,330000037;754946,440000017;155907,610000008;1505142,49000028;2809467,85000008;2461900,76999981;439133,730000016;9123693,33000024
310350:MG-ARAGUARI;151872,629999996;13400688,15;153369,159999993;1910930,38;11337392,0499999;19630751,05;10203582,5099996;3983211,30999998;60771797,2399994
310360:MG-ARANTINA;0;58312,7900000028;2103,51999999955;17903,8599999994;50053,8600000069;35942,0200000019;436585,389999978;5866,66999999993;606768,109999989
310370:MG-ARAPONGA;0;13663,5300000012;0;0;112310,560000019;83255,2399999909;698194,960000049;68133,5399999954;975557,830000056
310375:MG-ARAPORA;16765,6599999983;3689432,59999995;1590710,16000004;2597836,56000026;644718,069999998;623221,519999983;2143755,53000003;371704,130000014;11678144,2300003
310380:MG-ARAPUA;0;829255,299999989;0;50508,3100000005;51139,6999999937;65907,8199999975;386553,999999974;50869,7599999942;1434234,88999995
310390:MG-ARAUJOS;22469,9799999977;1036631,52999995;41085,0599999987;52452,1999999983;655252,139999995;475143,09999998;930294,010000069;273461,209999996;3486789,22999998
310400:MG-ARAXA;1122467,63999999;110004577,619999;2325,6799999997;3827914,10000012;14686567,32;22728831,9500001;12937628,5300006;1578761,96000004;166889074,8
310410:MG-ARCEBURGO;1266,40000000037;2700972,53999996;20691,7500000037;59395,0599999987;469049,91000001;400470,45999998;980093,140000062;739704,129999982;5371643,39
310420:MG-ARCOS;1384386,26000003;9333069,98000001;1196,48000000045;1394414,51999999;4213210,83000016;6568810,90000001;4029759,89000022;559144,880000027;27483993,7400004
310430:MG-AREADO;0;186395,680000015;0;97340,6599999992;706312,640000029;1024618,29999998;1085779,76000002;407072,509999995;3507519,55000004
310440:MG-ARGIRITA;0;110864,010000022;0;0;63973,3200000031;20415,2700000051;500289,280000011;85664,9900000021;781206,870000044
310445:MG-ARICANDUVA;0;6536,86999999918;0;0;39177,1000000089;18666,0500000045;621271,509999994;30675,8100000001;716327,340000007
310450:MG-ARINOS;7394,43999999948;60925,1799999988;0;8036,66999999993;483998,11999999;991348,039999978;1324255,67999993;734181,529999991;3610139,65999988
310460:MG-ASTOLFO DUTRA;3850;2994148,08000006;0;42902,7299999986;532470,51000006;686859,629999995;16482,2599999979;148279,719999996;4424992,93000011
310470:MG-ATALEIA;9976,11999999918;4400;7286,66999999993;6792,71999999788;140398,140000017;581181,260000013;683682,68000005;282943,140000005;1716660,73000008
310480:MG-AUGUSTO DE LIMA;1100;96956,290000001;0;0;106503,010000015;279522,899999991;578838,04999996;171797,68999999;1234717,93999996
310490:MG-BAEPENDI;9965;836960,58000001;0;177805,700000017;1422650,48000014;1731070,54000001;2613861,60999977;538779,589999986;7331093,49999993
310500:MG-BALDIM;0;173807,450000007;0;2800108,68999993;205365,26000002;216160,809999974;873787,740000065;197808,180000009;4467038,13
310510:MG-BAMBUI;42072,7300000023;3948095,62999994;37306,7199999997;140302,990000009;1532164,53000007;2560561,71999999;1409244,72999997;862072,400000005;10531821,45
310520:MG-BANDEIRA;0;5500;0;23435;32473,9199999999;18189,8199999994;466582,740000008;38910;585091,480000007
