Coluna;IBGE Setor
Município-Minas Gerais;1 - Extrativa mineral;2 - Indústria de transformação;3 - Servicos industriais de utilidade pública;4 - Construção Civil;5 - Comércio;6 - Serviços;7 - Administração Pública;8 - Agropecuária, extração vegetal, caça e pesca;Total
310010:MG-ABADIA DOS DOURADOS;30;507;2;24;221;226;379;173;1562
310020:MG-ABAETE;8;262;0;138;1070;1086;716;591;3871
310030:MG-ABRE CAMPO;15;105;19;77;528;525;329;159;1757
310040:MG-ACAIACA;38;26;0;5;71;71;245;32;488
310050:MG-ACUCENA;0;6;0;7;70;38;268;83;472
310060:MG-AGUA BOA;0;7;0;4;173;111;403;161;859
310070:MG-AGUA COMPRIDA;16;6;0;0;27;31;139;214;433
310080:MG-AGUANIL;0;193;0;7;80;102;265;98;745
310090:MG-AGUAS FORMOSAS;0;244;0;10;392;519;652;166;1983
310100:MG-AGUAS VERMELHAS;4;15;0;11;194;177;329;234;964
310110:MG-AIMORES;61;520;26;16;645;922;1054;256;3500
310120:MG-AIURUOCA;3;116;0;1;156;254;241;291;1062
310130:MG-ALAGOA;0;30;33;0;48;47;210;28;396
310140:MG-ALBERTINA;0;73;0;5;70;15;187;82;432
310150:MG-ALEM PARAIBA;43;294;54;61;1360;1994;1269;235;5310
310160:MG-ALFENAS;36;2533;64;877;5409;8905;2546;2022;22392
310163:MG-ALFREDO VASCONCELOS;3;109;0;80;144;117;252;228;933
310170:MG-ALMENARA;48;121;124;905;1527;1460;1479;259;5923
310180:MG-ALPERCATA;41;57;0;7;137;112;284;97;735
310190:MG-ALPINOPOLIS;123;325;0;58;777;714;531;285;2813
310200:MG-ALTEROSA;0;176;0;26;402;302;660;154;1720
310205:MG-ALTO CAPARAO;0;6;0;4;146;103;278;31;568
310210:MG-ALTO RIO DOCE;0;90;0;14;161;128;406;74;873
310220:MG-ALVARENGA;1;1;0;0;34;18;307;1;362
310230:MG-ALVINOPOLIS;13;1099;0;40;463;237;568;174;2594
310240:MG-ALVORADA DE MINAS;1;0;0;0;42;17;272;82;414
310250:MG-AMPARO DO SERRA;0;35;0;4;71;33;233;59;435
310260:MG-ANDRADAS;55;3525;20;114;2015;1933;1185;1972;10819
310270:MG-CACHOEIRA DE PAJEU;1;14;0;15;126;147;438;9;750
310280:MG-ANDRELANDIA;0;169;2;24;405;316;530;434;1880
310285:MG-ANGELANDIA;0;29;0;105;98;29;327;276;864
310290:MG-ANTONIO CARLOS;1;595;3;12;173;168;421;304;1677
310300:MG-ANTONIO DIAS;778;307;0;44;183;201;593;233;2339
310310:MG-ANTONIO PRADO DE MINAS;0;0;0;0;9;4;200;15;228
310320:MG-ARACAI;0;180;0;2;18;13;206;49;468
310330:MG-ARACITABA;0;18;0;0;14;9;147;15;203
310340:MG-ARACUAI;258;179;180;123;1048;1515;1000;382;4685
310350:MG-ARAGUARI;58;5636;89;1044;5917;8492;2962;1936;26134
310360:MG-ARANTINA;0;41;1;13;41;30;265;5;396
310370:MG-ARAPONGA;0;14;0;0;78;50;317;61;520
310375:MG-ARAPORA;7;1106;100;1057;365;376;821;166;3998
310380:MG-ARAPUA;0;312;0;23;24;34;201;32;626
310390:MG-ARAUJOS;12;582;23;30;401;251;348;171;1818
310400:MG-ARAXA;191;5741;1;1982;7286;9946;4829;819;30795
310410:MG-ARCEBURGO;1;889;6;33;296;224;430;410;2289
310420:MG-ARCOS;563;3714;1;738;2532;3164;1285;285;12282
310430:MG-AREADO;0;131;0;76;442;552;384;276;1861
310440:MG-ARGIRITA;0;95;0;0;46;8;258;71;478
310445:MG-ARICANDUVA;0;6;0;0;34;13;279;19;351
310450:MG-ARINOS;5;41;0;6;326;411;585;407;1781
310460:MG-ASTOLFO DUTRA;3;2076;0;25;366;384;4;122;2980
310470:MG-ATALEIA;4;4;4;6;104;331;262;221;936
310480:MG-AUGUSTO DE LIMA;1;108;0;0;68;209;228;109;723
310490:MG-BAEPENDI;7;621;0;128;951;809;660;392;3568
310500:MG-BALDIM;0;119;0;1251;132;141;318;138;2099
310510:MG-BAMBUI;20;1367;26;100;941;1094;534;447;4529
310520:MG-BANDEIRA;0;5;0;21;22;8;256;33;345
310530:MG-BANDEIRA DO SUL;0;422;22;2;127;82;239;16;910
310540:MG-BARAO DE COCAIS;448;1078;0;1603;1323;2193;1030;26;7701
310550:MG-BARAO DE MONTE ALTO;0;8;0;15;46;29;358;144;600
310560:MG-BARBACENA;0;4724;19;959;7225;10098;4672;784;28481
310570:MG-BARRA LONGA;0;14;0;9;88;43;261;95;510
310590:MG-BARROSO;127;705;0;55;873;828;603;31;3222
310600:MG-BELA VISTA DE MINAS;391;76;0;4;212;313;362;24;1382
310610:MG-BELMIRO BRAGA;1;170;28;0;24;26;196;177;622
310620:MG-BELO HORIZONTE;1527;52783;21619;116602;171804;565810;309801;4689;1244635
310630:MG-BELO ORIENTE;12;1864;0;511;792;2029;1119;1549;7876
310640:MG-BELO VALE;287;12;0;1;200;137;247;80;964
310650:MG-BERILO;0;3;0;2;77;103;464;7;656
310660:MG-BERTOPOLIS;0;0;0;0;13;6;140;58;217
310665:MG-BERIZAL;0;61;0;5;56;8;379;67;576
310670:MG-BETIM;256;43570;875;4731;20113;33383;10665;153;113746
310680:MG-BIAS FORTES;0;13;0;0;20;5;218;46;302
310690:MG-BICAS;3;686;0;202;755;505;583;97;2831
310700:MG-BIQUINHAS;0;3;0;3;65;18;211;40;340
310710:MG-BOA ESPERANCA;11;927;94;129;2199;1812;1167;1642;7981
310720:MG-BOCAINA DE MINAS;0;47;0;0;41;120;283;26;517
310730:MG-BOCAIUVA;6;2763;100;158;1826;1530;1633;882;8898
310740:MG-BOM DESPACHO;26;2886;5;410;3338;3515;1258;1061;12499
310750:MG-BOM JARDIM DE MINAS;0;106;0;5;198;269;430;129;1137
310760:MG-BOM JESUS DA PENHA;0;5;0;28;106;71;269;227;706
310770:MG-BOM JESUS DO AMPARO;8;34;8;0;289;753;281;226;1599
310780:MG-BOM JESUS DO GALHO;4;3;0;2;274;200;435;130;1048
310790:MG-BOM REPOUSO;0;98;0;9;237;102;368;151;965
310800:MG-BOM SUCESSO;10;223;32;29;598;439;419;606;2356
310810:MG-BONFIM;3;105;0;1;143;85;264;35;636
310820:MG-BONFINOPOLIS DE MINAS;0;26;1;1;127;153;329;402;1039
310825:MG-BONITO DE MINAS;0;3;0;0;67;422;7;67;566
310830:MG-BORDA DA MATA;0;1311;2;11;662;354;586;79;3005
310840:MG-BOTELHOS;3;186;0;48;501;563;456;661;2418
310850:MG-BOTUMIRIM;69;44;0;2;37;87;259;21;519
310855:MG-BRASILANDIA DE MINAS;48;87;0;4;321;725;299;491;1975
310860:MG-BRASILIA DE MINAS;9;87;0;112;753;579;1117;60;2717
310870:MG-BRAS PIRES;4;8;0;7;39;22;230;2;312
310880:MG-BRAUNAS;1;2;0;0;62;26;272;32;395
310890:MG-BRAZOPOLIS;0;419;0;5;294;218;422;196;1554
310900:MG-BRUMADINHO;2214;665;6;1370;1339;2774;2535;162;11065
310910:MG-BUENO BRANDAO;0;77;5;0;288;293;385;69;1117
310920:MG-BUENOPOLIS;6;16;0;6;234;169;477;85;993
310925:MG-BUGRE;0;1;0;12;33;134;189;37;406
310930:MG-BURITIS;0;316;0;21;848;642;989;1504;4320
310940:MG-BURITIZEIRO;1;210;43;26;627;664;661;1642;3874
310945:MG-CABECEIRA GRANDE;0;18;21;0;63;44;491;247;884
310950:MG-CABO VERDE;32;136;0;13;312;265;415;571;1744
310960:MG-CACHOEIRA DA PRATA;13;90;0;16;106;31;175;27;458
310970:MG-CACHOEIRA DE MINAS;9;1102;0;19;197;170;380;167;2044
310980:MG-CACHOEIRA DOURADA;0;12;0;2;14;28;433;375;864
310990:MG-CAETANOPOLIS;3;941;0;31;306;479;435;155;2350
311000:MG-CAETE;262;579;1;140;1296;1927;1244;101;5550
311010:MG-CAIANA;4;7;0;3;86;33;312;23;468
311020:MG-CAJURI;0;185;0;0;50;57;199;60;551
311030:MG-CALDAS;247;334;2;53;482;411;390;178;2097
311040:MG-CAMACHO;0;1;0;4;28;14;210;20;277
311050:MG-CAMANDUCAIA;0;2338;20;78;981;1830;681;135;6063
311060:MG-CAMBUI;14;2517;88;89;2170;1433;830;118;7259
311070:MG-CAMBUQUIRA;0;316;0;1;301;294;456;376;1744
311080:MG-CAMPANARIO;0;0;0;0;47;47;211;92;397
311090:MG-CAMPANHA;0;741;66;7;637;651;565;591;3258
311100:MG-CAMPESTRE;2;452;5;167;666;476;847;528;3143
311110:MG-CAMPINA VERDE;0;219;0;23;666;542;623;695;2768
311115:MG-CAMPO AZUL;0;0;0;0;21;5;331;13;370
311120:MG-CAMPO BELO;89;3276;52;377;2857;3508;886;356;11401
311130:MG-CAMPO DO MEIO;0;184;0;11;284;180;618;453;1730
311140:MG-CAMPO FLORIDO;0;812;1;5;153;284;401;538;2194
311150:MG-CAMPOS ALTOS;0;48;0;32;533;364;418;929;2324
311160:MG-CAMPOS GERAIS;0;302;1;49;967;649;907;1071;3946
311170:MG-CANAA;0;8;0;2;68;23;260;66;427
311180:MG-CANAPOLIS;0;1103;0;0;305;291;565;348;2612
311190:MG-CANA VERDE;0;223;0;16;91;104;256;73;763
311200:MG-CANDEIAS;21;688;26;25;400;508;535;313;2516
311205:MG-CANTAGALO;1;59;0;43;55;17;354;29;558
311210:MG-CAPARAO;0;7;0;14;116;82;249;17;485
311220:MG-CAPELA NOVA;0;28;0;0;123;31;276;20;478
311230:MG-CAPELINHA;0;707;7;277;1842;1891;929;468;6121
311240:MG-CAPETINGA;0;296;0;0;152;214;261;448;1371
311250:MG-CAPIM BRANCO;7;115;0;57;197;156;291;129;952
311260:MG-CAPINOPOLIS;7;809;0;9;555;374;553;403;2710
311265:MG-CAPITAO ANDRADE;0;10;0;7;43;38;245;33;376
311270:MG-CAPITAO ENEAS;0;1655;5;38;210;234;610;382;3134
311280:MG-CAPITOLIO;3;257;4;100;435;1185;493;157;2634
311290:MG-CAPUTIRA;2;7;0;5;152;38;337;103;644
311300:MG-CARAI;29;18;0;0;134;52;327;48;608
311310:MG-CARANAIBA;16;0;0;1;28;10;221;32;308
311320:MG-CARANDAI;24;775;0;49;898;877;802;703;4128
311330:MG-CARANGOLA;6;258;86;84;1565;2007;1052;136;5194
311340:MG-CARATINGA;152;2076;2;1005;6107;8216;2250;453;20261
311350:MG-CARBONITA;0;34;0;81;212;678;402;260;1667
311360:MG-CAREACU;23;143;17;22;202;141;178;215;941
311370:MG-CARLOS CHAGAS;0;673;3;50;368;590;709;870;3263
311380:MG-CARMESIA;0;0;19;0;38;39;219;16;331
311390:MG-CARMO DA CACHOEIRA;0;66;0;46;328;333;447;1374;2594
311400:MG-CARMO DA MATA;0;1150;39;26;327;179;422;243;2386
311410:MG-CARMO DE MINAS;11;108;1;30;466;321;349;920;2206
311420:MG-CARMO DO CAJURU;76;2074;0;123;1124;805;760;482;5444
311430:MG-CARMO DO PARANAIBA;29;696;0;122;1381;865;1182;968;5243
311440:MG-CARMO DO RIO CLARO;35;369;0;59;870;822;500;1052;3707
311450:MG-CARMOPOLIS DE MINAS;4;1067;65;35;889;863;550;279;3752
311455:MG-CARNEIRINHO;0;897;0;2;200;176;679;410;2364
311460:MG-CARRANCAS;0;56;0;8;99;150;242;193;748
311470:MG-CARVALHOPOLIS;0;56;0;1;23;19;220;49;368
311480:MG-CARVALHOS;0;70;2;2;109;52;201;45;481
311490:MG-CASA GRANDE;0;4;0;0;21;8;182;48;263
311500:MG-CASCALHO RICO;4;58;0;0;24;18;310;271;685
311510:MG-CASSIA;26;360;0;35;627;778;465;573;2864
311520:MG-CONCEICAO DA BARRA DE MINAS;7;0;0;0;63;37;208;25;340
311530:MG-CATAGUASES;88;3556;1623;398;3285;4931;1992;278;16151
311535:MG-CATAS ALTAS;657;13;0;24;136;75;423;17;1345
311540:MG-CATAS ALTAS DA NORUEGA;0;178;0;6;33;17;191;34;459
311545:MG-CATUJI;0;12;0;0;93;199;349;49;702
311547:MG-CATUTI;0;0;0;0;25;10;292;1;328
311550:MG-CAXAMBU;14;199;8;64;1050;1164;715;149;3363
311560:MG-CEDRO DO ABAETE;0;0;0;0;6;5;146;12;169
311570:MG-CENTRAL DE MINAS;0;8;4;14;179;57;327;14;603
311580:MG-CENTRALINA;0;8;0;8;276;148;396;152;988
311590:MG-CHACARA;0;49;0;27;38;25;187;63;389
311600:MG-CHALE;0;16;9;3;95;58;303;4;488
311610:MG-CHAPADA DO NORTE;0;1;0;7;55;15;472;3;553
311615:MG-CHAPADA GAUCHA;0;11;1;11;278;206;295;282;1084
311620:MG-CHIADOR;0;59;0;0;18;10;193;77;357
311630:MG-CIPOTANEA;0;2;0;35;32;59;264;6;398
311640:MG-CLARAVAL;3;538;0;2;81;19;212;58;913
311650:MG-CLARO DOS POCOES;0;18;0;11;80;56;361;134;660
311660:MG-CLAUDIO;28;5425;0;118;1673;1986;588;329;10147
311670:MG-COIMBRA;0;136;0;27;273;149;261;202;1048
311680:MG-COLUNA;0;28;0;1;156;113;341;29;668
311690:MG-COMENDADOR GOMES;1;0;0;6;56;28;300;2111;2502
311700:MG-COMERCINHO;2;15;0;0;51;31;292;9;400
311710:MG-CONCEICAO DA APARECIDA;2;26;3;14;275;258;367;219;1164
311720:MG-CONCEICAO DAS PEDRAS;0;7;0;0;33;14;182;23;259
311730:MG-CONCEICAO DAS ALAGOAS;15;2048;0;64;809;768;1062;675;5441
311740:MG-CONCEICAO DE IPANEMA;0;0;0;1;26;38;275;9;349
311750:MG-CONCEICAO DO MATO DENTRO;1691;198;68;827;593;1795;961;172;6305
311760:MG-CONCEICAO DO PARA;562;895;0;3;61;74;275;183;2053
311770:MG-CONCEICAO DO RIO VERDE;10;259;0;76;405;248;359;744;2101
311780:MG-CONCEICAO DOS OUROS;0;1535;0;20;299;172;485;43;2554
311783:MG-CONEGO MARINHO;0;0;2;0;33;11;330;29;405
311787:MG-CONFINS;0;390;0;59;279;3495;681;13;4917
311790:MG-CONGONHAL;24;504;0;20;308;170;466;50;1542
311800:MG-CONGONHAS;7233;1547;0;886;2112;3580;2680;29;18067
311810:MG-CONGONHAS DO NORTE;0;3;0;0;78;18;226;9;334
311820:MG-CONQUISTA;0;482;1;21;134;202;400;205;1445
311830:MG-CONSELHEIRO LAFAIETE;32;1677;46;932;7298;9413;2953;656;23007
311840:MG-CONSELHEIRO PENA;55;234;59;18;541;564;669;89;2229
311850:MG-CONSOLACAO;0;12;0;0;9;4;123;28;176
311860:MG-CONTAGEM;323;47003;562;8355;65134;68776;12944;204;203301
311870:MG-COQUEIRAL;0;158;13;9;202;197;218;510;1307
311880:MG-CORACAO DE JESUS;0;81;0;30;374;181;549;96;1311
311890:MG-CORDISBURGO;33;14;0;4;158;213;239;164;825
311900:MG-CORDISLANDIA;3;34;0;0;24;158;214;174;607
311910:MG-CORINTO;24;392;1;27;873;590;968;451;3326
311920:MG-COROACI;7;0;0;0;90;53;541;62;753
311930:MG-COROMANDEL;174;624;0;167;1389;1102;1099;1568;6123
311940:MG-CORONEL FABRICIANO;0;1326;4;631;5310;6421;2688;34;16414
311950:MG-CORONEL MURTA;32;134;0;17;70;47;327;27;654
311960:MG-CORONEL PACHECO;0;128;0;8;40;59;189;69;493
311970:MG-CORONEL XAVIER CHAVES;0;18;0;55;57;37;177;162;506
311980:MG-CORREGO DANTA;0;21;3;0;143;133;204;94;598
311990:MG-CORREGO DO BOM JESUS;0;22;0;0;52;21;196;20;311
311995:MG-CORREGO FUNDO;17;795;15;17;181;202;303;67;1597
312000:MG-CORREGO NOVO;0;5;0;25;21;9;269;44;373
312010:MG-COUTO DE MAGALHAES DE MINAS;16;9;0;5;289;73;271;53;716
312015:MG-CRISOLITA;14;0;0;4;16;7;303;126;470
312020:MG-CRISTAIS;0;1649;0;5;272;232;452;397;3007
312030:MG-CRISTALIA;1;0;0;0;33;26;398;145;603
312040:MG-CRISTIANO OTONI;80;39;6;44;131;85;243;68;696
312050:MG-CRISTINA;0;658;0;5;186;181;354;89;1473
312060:MG-CRUCILANDIA;0;63;0;8;135;174;330;34;744
312070:MG-CRUZEIRO DA FORTALEZA;0;20;0;8;133;79;306;221;767
312080:MG-CRUZILIA;0;848;0;41;610;403;592;327;2821
312083:MG-CUPARAQUE;0;2;0;0;122;19;369;7;519
312087:MG-CURRAL DE DENTRO;40;1;0;0;44;13;337;135;570
312090:MG-CURVELO;186;3396;1;828;4496;6280;2090;1500;18777
312100:MG-DATAS;8;22;0;0;75;31;260;142;538
312110:MG-DELFIM MOREIRA;4;218;0;18;115;131;284;203;973
312120:MG-DELFINOPOLIS;0;22;1;3;220;154;392;1119;1911
312125:MG-DELTA;4;2410;0;9;415;794;544;90;4266
312130:MG-DESCOBERTO;0;550;0;3;67;32;264;85;1001
312140:MG-DESTERRO DE ENTRE RIOS;369;38;0;5;203;121;168;42;946
312150:MG-DESTERRO DO MELO;0;6;0;0;53;20;227;47;353
312160:MG-DIAMANTINA;346;165;0;259;2329;4680;1690;256;9725
312170:MG-DIOGO DE VASCONCELOS;0;1;0;1;44;15;98;19;178
312180:MG-DIONISIO;0;47;0;15;122;188;431;45;848
312190:MG-DIVINESIA;0;114;0;56;42;54;206;36;508
312200:MG-DIVINO;0;80;20;36;595;474;202;39;1446
312210:MG-DIVINO DAS LARANJEIRAS;6;0;0;3;57;42;356;44;508
312220:MG-DIVINOLANDIA DE MINAS;17;22;5;0;141;42;163;11;401
312230:MG-DIVINOPOLIS;53;13555;69;1777;15230;23394;3844;653;58575
312235:MG-DIVISA ALEGRE;0;235;0;0;138;66;296;5;740
312240:MG-DIVISA NOVA;0;33;0;1;142;92;252;170;690
312245:MG-DIVISOPOLIS;0;3;0;0;56;40;233;28;360
312247:MG-DOM BOSCO;2;1;0;2;38;15;190;74;322
312250:MG-DOM CAVATI;0;56;0;8;123;98;309;16;610
312260:MG-DOM JOAQUIM;0;4;0;0;93;43;261;23;424
312270:MG-DOM SILVERIO;5;382;0;0;182;109;213;95;986
312280:MG-DOM VICOSO;0;8;0;1;12;17;184;87;309
312290:MG-DONA EUSEBIA;0;192;0;0;343;85;272;112;1004
312300:MG-DORES DE CAMPOS;12;2139;22;33;307;196;393;18;3120
312310:MG-DORES DE GUANHAES;150;0;0;0;113;47;357;50;717
312320:MG-DORES DO INDAIA;0;492;0;47;397;534;504;284;2258
312330:MG-DORES DO TURVO;0;27;0;3;61;23;107;66;287
312340:MG-DORESOPOLIS;17;51;0;4;3;49;153;28;305
312350:MG-DOURADOQUARA;0;48;0;16;10;13;290;39;416
312352:MG-DURANDE;11;6;0;2;101;38;208;16;382
312360:MG-ELOI MENDES;0;1387;33;129;1336;1033;776;873;5567
312370:MG-ENGENHEIRO CALDAS;36;246;0;3;318;150;568;93;1414
312380:MG-ENGENHEIRO NAVARRO;0;31;0;3;120;135;343;158;790
312385:MG-ENTRE FOLHAS;0;43;0;1;72;58;184;11;369
