"Código","Unidade Territorial","UF","Referência","Famílias Beneficiárias do Auxílio Brasil","Valores Repassados do Auxílio Brasil + Benefício Extraordinário","Benefício Médio do Auxílio Brasil + Benefício Extraordinário"
"310010","ABADIA DOS DOURADOS","MG","11/2021","271","43815.00","161.68"
"310010","ABADIA DOS DOURADOS","MG","12/2021","277","110964.00","400.59"
"310010","ABADIA DOS DOURADOS","MG","01/2022","315","126164","400.52"
"310010","ABADIA DOS DOURADOS","MG","02/2022","320","127563.00","401.14"
"310010","ABADIA DOS DOURADOS","MG","03/2022","322","129357","401.73"
"310010","ABADIA DOS DOURADOS","MG","04/2022","333","133812.00","401.84"
"310010","ABADIA DOS DOURADOS","MG","05/2022","337","135582","403.52"
"310010","ABADIA DOS DOURADOS","MG","06/2022","351","140956","401.58"
"310010","ABADIA DOS DOURADOS","MG","07/2022","354","141855.00","400.72"
"310010","ABADIA DOS DOURADOS","MG","08/2022","360","216200","600.56"
"310010","ABADIA DOS DOURADOS","MG","09/2022","368","221000.00","600.54"
"310020","ABAETÉ","MG","11/2021","834","162430.00","194.76"
"310020","ABAETÉ","MG","12/2021","826","333688.00","403.98"
"310020","ABAETÉ","MG","01/2022","1134","457208","403.18"
"310020","ABAETÉ","MG","02/2022","1172","461465.00","404.44"
"310020","ABAETÉ","MG","03/2022","1124","455008","404.81"
"310020","ABAETÉ","MG","04/2022","1133","458607.00","404.77"
"310020","ABAETÉ","MG","05/2022","1148","457051","404.47"
"310020","ABAETÉ","MG","06/2022","1162","463428","404.39"
"310020","ABAETÉ","MG","07/2022","1156","460838.00","404.24"
"310020","ABAETÉ","MG","08/2022","1201","715413","604.23"
"310020","ABAETÉ","MG","09/2022","1216","732185.00","604.11"
"310030","ABRE CAMPO","MG","11/2021","1072","221656.00","206.77"
"310030","ABRE CAMPO","MG","12/2021","1073","434763.00","405.18"
"310030","ABRE CAMPO","MG","01/2022","1186","480575","405.21"
"310030","ABRE CAMPO","MG","02/2022","1194","485797.00","407.21"
"310030","ABRE CAMPO","MG","03/2022","1186","482408","406.75"
"310030","ABRE CAMPO","MG","04/2022","1199","487105.00","406.26"
"310030","ABRE CAMPO","MG","05/2022","1207","489951","405.92"
"310030","ABRE CAMPO","MG","06/2022","1206","489267","405.69"
"310030","ABRE CAMPO","MG","07/2022","1203","486306.00","405.59"
"310030","ABRE CAMPO","MG","08/2022","1244","750661","605.37"
"310030","ABRE CAMPO","MG","09/2022","1249","755154.00","605.09"
