"Código","Unidade Territorial","UF","Referência","Pessoas elegíveis ao Auxílio Emergencial","Valor total a ser repassado pelo Auxílio Emergencial","Pessoas elegíveis do público Cadastro Único (sem bolsa)","Valor total a ser repassado para público Cadastro Único (sem bolsa)","Pessoas elegíveis do público Aplicativo Caixa","Valor total a ser repassado para público Aplicativo Caixa","Pessoas elegíveis por meio Judicial","Valor total a ser repassado para público Judicial","Pessoas elegíveis do público Bolsa Família","Valor total a ser repassado para público Bolsa Família"
"310010","ABADIA DOS DOURADOS","MG","04/2020","1520","1029600","469","299400.0","731","485400.0","","0","320","244800"
"310010","ABADIA DOS DOURADOS","MG","05/2020","301","1222200","","299400.0","301","677400.0","","0","","245400"
"310010","ABADIA DOS DOURADOS","MG","06/2020","275","1392600","","291000.0","275","856800.0","","0","","244800"
"310010","ABADIA DOS DOURADOS","MG","07/2020","72","1440600","","291000.0","71","904200.0","","0","1","245400"
"310010","ABADIA DOS DOURADOS","MG","08/2020","12","1409400","","274800.0","12","888000.0","","0","","246600"
"310010","ABADIA DOS DOURADOS","MG","09/2020","10","845259","","130200.0","9","631200.0","","0","1","83859"
"310010","ABADIA DOS DOURADOS","MG","10/2020","6","744371","","126900.0","5","528300.0","","0","1","89171"
"310010","ABADIA DOS DOURADOS","MG","11/2020","4","638900","","126000.0","4","430800.0","","0","","82100"
"310010","ABADIA DOS DOURADOS","MG","12/2020","1","641983","","126000.0","","427200.0","","0","1","88783"
"310010","ABADIA DOS DOURADOS","MG","01/2021","0","17400","","600.0","","16800.0","","0","","0"
"310010","ABADIA DOS DOURADOS","MG","02/2021","0","0","","0","","0","","0","","0"
"310010","ABADIA DOS DOURADOS","MG","03/2021","0","0","","0","","0","","0","","0"
"310010","ABADIA DOS DOURADOS","MG","04/2021","0","1200","","0","","1200.0","","0","","0"
"310010","ABADIA DOS DOURADOS","MG","05/2021","0","0","","0","","0","","0","","0"
"310010","ABADIA DOS DOURADOS","MG","06/2021","0","0","","0","","0","","0","","0"
"310010","ABADIA DOS DOURADOS","MG","07/2021","0","600","","600.0","","0","","0","","0"
"310010","ABADIA DOS DOURADOS","MG","08/2021","0","0","","0","","0","","0","","0"
"310010","ABADIA DOS DOURADOS","MG","09/2021","0","0","","0","","0","","0","","0"
"310010","ABADIA DOS DOURADOS","MG","10/2021","0","0","","0","","0","","0","","0"
"310010","ABADIA DOS DOURADOS","MG","11/2021","0","0","","0","","0","","0","","0"
"310010","ABADIA DOS DOURADOS","MG","12/2021","0","0","","0","","0","","0","","0"
"310010","ABADIA DOS DOURADOS","MG","01/2022","0","0","","0","","0","","0","","0"
"310010","ABADIA DOS DOURADOS","MG","02/2022","0","0","","0","","0","","0","","0"
"310010","ABADIA DOS DOURADOS","MG","03/2022","0","0","","0","","0","","0","","0"
"310010","ABADIA DOS DOURADOS","MG","04/2022","0","0","","0","","0","","0","","0"
"310010","ABADIA DOS DOURADOS","MG","05/2022","0","0","","0","","0","","0","","0"
"310010","ABADIA DOS DOURADOS","MG","06/2022","0","0","","0","","0","","0","","0"
"310010","ABADIA DOS DOURADOS","MG","07/2022","0","0","","0","","0","","0","","0"
"310010","ABADIA DOS DOURADOS","MG","08/2022","0","0","","0","","0","","0","","0"
"310020","ABAETÉ","MG","04/2020","5015","3433800","1513","1005000.0","2669","1765200.0","","0","833","663600"
"310020","ABAETÉ","MG","05/2020","1196","4182600","","1003800.0","1190","2514600.0","","0","6","664200"
"310020","ABAETÉ","MG","06/2020","859","4675800","","956400.0","858","3055800.0","","0","1","663600"
"310020","ABAETÉ","MG","07/2020","229","4831800","","956400.0","226","3210600.0","","0","3","664800"
"310020","ABAETÉ","MG","08/2020","34","4727400","","922200.0","26","3121800.0","5","15000.0","3","668400"
"310020","ABAETÉ","MG","09/2020","68","2896168","","425700.0","65","2250300.0","2","6000.0","1","214168"
"310020","ABAETÉ","MG","10/2020","10","2482919","","420000.0","7","1850100.0","2","6000.0","1","206819"
"310020","ABAETÉ","MG","11/2020","18","2176060","","416400.0","15","1544100.0","3","12000.0","","203560"
"310020","ABAETÉ","MG","12/2020","4","2174006","","411900.0","1","1545600.0","2","6000.0","1","210506"
"310020","ABAETÉ","MG","01/2021","0","31800","","1800.0","","25200.0","","4800.0","","0"
"310020","ABAETÉ","MG","02/2021","2","1200","","0","","0","2","1200.0","","0"
"310020","ABAETÉ","MG","03/2021","0","0","","0","","0","","0","","0"
"310020","ABAETÉ","MG","04/2021","0","2400","","0","","0","","2400.0","","0"
"310020","ABAETÉ","MG","05/2021","4","12600","","0","","0","4","12600.0","","0"
"310020","ABAETÉ","MG","06/2021","0","0","","0","","0","","0","","0"
"310020","ABAETÉ","MG","07/2021","0","0","","0","","0","","0","","0"
"310020","ABAETÉ","MG","08/2021","0","0","","0","","0","","0","","0"
