"Código","Unidade Territorial","UF","Referência","Idosos que recebem o Benefício de Prestação Continuada (BPC) por Município pagador"
"310010","ABADIA DOS DOURADOS","MG","08/2021","71"
"310010","ABADIA DOS DOURADOS","MG","01/2018","77"
"310010","ABADIA DOS DOURADOS","MG","02/2018","76"
"310010","ABADIA DOS DOURADOS","MG","03/2018","75"
"310010","ABADIA DOS DOURADOS","MG","04/2018","73"
"310010","ABADIA DOS DOURADOS","MG","10/2021","67"
"310010","ABADIA DOS DOURADOS","MG","05/2018","74"
"310010","ABADIA DOS DOURADOS","MG","06/2018","73"
"310010","ABADIA DOS DOURADOS","MG","11/2021","69"
"310010","ABADIA DOS DOURADOS","MG","12/2021","69"
"310010","ABADIA DOS DOURADOS","MG","07/2018","74"
"310010","ABADIA DOS DOURADOS","MG","08/2018","73"
"310010","ABADIA DOS DOURADOS","MG","09/2018","73"
"310010","ABADIA DOS DOURADOS","MG","10/2018","73"
"310010","ABADIA DOS DOURADOS","MG","11/2018","72"
"310010","ABADIA DOS DOURADOS","MG","12/2018","72"
"310010","ABADIA DOS DOURADOS","MG","01/2019","71"
"310010","ABADIA DOS DOURADOS","MG","02/2019","69"
"310010","ABADIA DOS DOURADOS","MG","03/2019","69"
"310010","ABADIA DOS DOURADOS","MG","04/2019","69"
"310010","ABADIA DOS DOURADOS","MG","05/2019","69"
"310010","ABADIA DOS DOURADOS","MG","06/2019","69"
"310010","ABADIA DOS DOURADOS","MG","07/2019","67"
"310010","ABADIA DOS DOURADOS","MG","08/2019","65"
"310010","ABADIA DOS DOURADOS","MG","09/2019","62"
"310010","ABADIA DOS DOURADOS","MG","10/2019","62"
"310010","ABADIA DOS DOURADOS","MG","11/2019","63"
"310010","ABADIA DOS DOURADOS","MG","01/2020","63"
"310010","ABADIA DOS DOURADOS","MG","02/2020","60"
"310010","ABADIA DOS DOURADOS","MG","03/2020","61"
"310010","ABADIA DOS DOURADOS","MG","04/2020","61"
"310010","ABADIA DOS DOURADOS","MG","05/2020","62"
"310010","ABADIA DOS DOURADOS","MG","06/2020","62"
"310010","ABADIA DOS DOURADOS","MG","07/2020","62"
"310010","ABADIA DOS DOURADOS","MG","08/2020","63"
"310010","ABADIA DOS DOURADOS","MG","09/2020","62"
"310010","ABADIA DOS DOURADOS","MG","10/2020","63"
"310010","ABADIA DOS DOURADOS","MG","11/2020","64"
"310010","ABADIA DOS DOURADOS","MG","12/2020","65"
"310010","ABADIA DOS DOURADOS","MG","12/2019","63"
"310010","ABADIA DOS DOURADOS","MG","01/2021","64"
"310010","ABADIA DOS DOURADOS","MG","02/2021","66"
"310010","ABADIA DOS DOURADOS","MG","09/2021","67"
"310010","ABADIA DOS DOURADOS","MG","03/2021","65"
"310010","ABADIA DOS DOURADOS","MG","04/2021","67"
"310010","ABADIA DOS DOURADOS","MG","05/2021","67"
"310010","ABADIA DOS DOURADOS","MG","06/2021","70"
"310010","ABADIA DOS DOURADOS","MG","07/2021","70"
"310020","ABAETÉ","MG","09/2018","475"
"310020","ABAETÉ","MG","08/2018","475"
"310020","ABAETÉ","MG","07/2018","474"
"310020","ABAETÉ","MG","06/2018","475"
"310020","ABAETÉ","MG","05/2018","478"
"310020","ABAETÉ","MG","04/2018","475"
"310020","ABAETÉ","MG","12/2019","455"
"310020","ABAETÉ","MG","03/2018","478"
"310020","ABAETÉ","MG","02/2018","480"
"310020","ABAETÉ","MG","01/2018","475"
"310020","ABAETÉ","MG","10/2021","455"
"310020","ABAETÉ","MG","09/2021","461"
"310020","ABAETÉ","MG","07/2021","458"
"310020","ABAETÉ","MG","11/2021","456"
"310020","ABAETÉ","MG","08/2021","462"
"310020","ABAETÉ","MG","06/2021","462"
"310020","ABAETÉ","MG","05/2021","469"
"310020","ABAETÉ","MG","04/2021","466"
"310020","ABAETÉ","MG","03/2021","463"
"310020","ABAETÉ","MG","02/2021","466"
"310020","ABAETÉ","MG","01/2021","467"
"310020","ABAETÉ","MG","12/2020","467"
"310020","ABAETÉ","MG","11/2020","470"
"310020","ABAETÉ","MG","10/2020","468"
"310020","ABAETÉ","MG","09/2020","466"
"310020","ABAETÉ","MG","08/2020","462"
"310020","ABAETÉ","MG","07/2020","461"
"310020","ABAETÉ","MG","06/2020","460"
"310020","ABAETÉ","MG","05/2020","460"
"310020","ABAETÉ","MG","04/2020","455"
"310020","ABAETÉ","MG","03/2020","449"
"310020","ABAETÉ","MG","02/2020","444"
"310020","ABAETÉ","MG","01/2020","452"
"310020","ABAETÉ","MG","11/2019","453"
"310020","ABAETÉ","MG","10/2019","454"
"310020","ABAETÉ","MG","09/2019","457"
"310020","ABAETÉ","MG","08/2019","460"
"310020","ABAETÉ","MG","07/2019","464"
"310020","ABAETÉ","MG","06/2019","465"
"310020","ABAETÉ","MG","05/2019","469"
"310020","ABAETÉ","MG","04/2019","472"
"310020","ABAETÉ","MG","03/2019","472"
"310020","ABAETÉ","MG","02/2019","475"
"310020","ABAETÉ","MG","01/2019","477"
"310020","ABAETÉ","MG","12/2018","477"
"310020","ABAETÉ","MG","11/2018","475"
"310020","ABAETÉ","MG","10/2018","478"
"310020","ABAETÉ","MG","12/2021","456"
"310030","ABRE CAMPO","MG","08/2018","63"
"310030","ABRE CAMPO","MG","01/2018","62"
"310030","ABRE CAMPO","MG","02/2018","62"
"310030","ABRE CAMPO","MG","06/2018","62"
"310030","ABRE CAMPO","MG","12/2021","64"
"310030","ABRE CAMPO","MG","11/2021","64"
"310030","ABRE CAMPO","MG","10/2021","62"
"310030","ABRE CAMPO","MG","09/2021","63"
"310030","ABRE CAMPO","MG","08/2021","64"
"310030","ABRE CAMPO","MG","07/2021","65"
"310030","ABRE CAMPO","MG","06/2021","66"
"310030","ABRE CAMPO","MG","05/2021","66"
"310030","ABRE CAMPO","MG","04/2021","66"
"310030","ABRE CAMPO","MG","03/2021","65"
"310030","ABRE CAMPO","MG","02/2021","66"
"310030","ABRE CAMPO","MG","01/2021","66"
"310030","ABRE CAMPO","MG","12/2020","66"
"310030","ABRE CAMPO","MG","11/2020","66"
"310030","ABRE CAMPO","MG","10/2020","66"
"310030","ABRE CAMPO","MG","09/2020","65"
"310030","ABRE CAMPO","MG","08/2020","65"
"310030","ABRE CAMPO","MG","07/2020","66"
"310030","ABRE CAMPO","MG","06/2020","66"
"310030","ABRE CAMPO","MG","05/2020","67"
"310030","ABRE CAMPO","MG","04/2020","67"
"310030","ABRE CAMPO","MG","03/2020","67"
"310030","ABRE CAMPO","MG","02/2020","66"
"310030","ABRE CAMPO","MG","01/2020","65"
"310030","ABRE CAMPO","MG","11/2019","61"
"310030","ABRE CAMPO","MG","10/2019","59"
"310030","ABRE CAMPO","MG","09/2019","58"
"310030","ABRE CAMPO","MG","08/2019","60"
"310030","ABRE CAMPO","MG","07/2019","60"
"310030","ABRE CAMPO","MG","06/2019","61"
"310030","ABRE CAMPO","MG","05/2019","61"
"310030","ABRE CAMPO","MG","04/2019","61"
"310030","ABRE CAMPO","MG","03/2019","62"
"310030","ABRE CAMPO","MG","02/2019","63"
"310030","ABRE CAMPO","MG","01/2019","63"
"310030","ABRE CAMPO","MG","12/2019","64"
"310030","ABRE CAMPO","MG","12/2018","61"
"310030","ABRE CAMPO","MG","11/2018","62"
"310030","ABRE CAMPO","MG","10/2018","61"
"310030","ABRE CAMPO","MG","09/2018","62"
"310030","ABRE CAMPO","MG","07/2018","62"
"310030","ABRE CAMPO","MG","05/2018","62"
"310030","ABRE CAMPO","MG","04/2018","63"
"310030","ABRE CAMPO","MG","03/2018","61"
"310040","ACAIACA","MG","12/2019","14"
"310040","ACAIACA","MG","11/2021","17"
"310040","ACAIACA","MG","01/2018","19"
"310040","ACAIACA","MG","02/2018","19"
"310040","ACAIACA","MG","03/2018","19"
"310040","ACAIACA","MG","04/2018","19"
"310040","ACAIACA","MG","05/2018","19"
"310040","ACAIACA","MG","06/2018","19"
"310040","ACAIACA","MG","07/2018","19"
"310040","ACAIACA","MG","08/2018","19"
"310040","ACAIACA","MG","09/2018","19"
"310040","ACAIACA","MG","10/2018","19"
"310040","ACAIACA","MG","11/2018","19"
"310040","ACAIACA","MG","12/2018","18"
"310040","ACAIACA","MG","01/2019","17"
"310040","ACAIACA","MG","02/2019","17"
"310040","ACAIACA","MG","03/2019","15"
"310040","ACAIACA","MG","04/2019","15"
"310040","ACAIACA","MG","05/2019","15"
"310040","ACAIACA","MG","06/2019","15"
"310040","ACAIACA","MG","07/2019","15"
"310040","ACAIACA","MG","08/2019","15"
"310040","ACAIACA","MG","09/2019","15"
"310040","ACAIACA","MG","10/2019","15"
"310040","ACAIACA","MG","11/2019","15"
"310040","ACAIACA","MG","01/2020","13"
"310040","ACAIACA","MG","02/2020","12"
"310040","ACAIACA","MG","03/2020","12"
"310040","ACAIACA","MG","04/2020","13"
"310040","ACAIACA","MG","05/2020","14"
"310040","ACAIACA","MG","06/2020","14"
"310040","ACAIACA","MG","07/2020","14"
"310040","ACAIACA","MG","08/2020","14"
"310040","ACAIACA","MG","09/2020","14"
"310040","ACAIACA","MG","10/2020","14"
"310040","ACAIACA","MG","11/2020","15"
"310040","ACAIACA","MG","12/2020","14"
"310040","ACAIACA","MG","01/2021","14"
"310040","ACAIACA","MG","02/2021","14"
"310040","ACAIACA","MG","03/2021","14"
"310040","ACAIACA","MG","04/2021","14"
"310040","ACAIACA","MG","05/2021","14"
"310040","ACAIACA","MG","06/2021","14"
"310040","ACAIACA","MG","07/2021","15"
"310040","ACAIACA","MG","12/2021","18"
"310040","ACAIACA","MG","08/2021","17"
"310040","ACAIACA","MG","09/2021","16"
"310040","ACAIACA","MG","10/2021","17"
"310050","AÇUCENA","MG","08/2018","63"
"310050","AÇUCENA","MG","07/2021","63"
"310050","AÇUCENA","MG","12/2019","68"
"310050","AÇUCENA","MG","01/2018","64"
"310050","AÇUCENA","MG","02/2018","64"
"310050","AÇUCENA","MG","03/2018","63"
"310050","AÇUCENA","MG","04/2018","62"
"310050","AÇUCENA","MG","05/2018","62"
"310050","AÇUCENA","MG","06/2018","62"
"310050","AÇUCENA","MG","07/2018","63"
"310050","AÇUCENA","MG","09/2018","64"
"310050","AÇUCENA","MG","10/2018","64"
"310050","AÇUCENA","MG","11/2018","64"
"310050","AÇUCENA","MG","12/2018","64"
"310050","AÇUCENA","MG","01/2019","66"
"310050","AÇUCENA","MG","02/2019","66"
"310050","AÇUCENA","MG","03/2019","66"
"310050","AÇUCENA","MG","04/2019","67"
"310050","AÇUCENA","MG","05/2019","67"
"310050","AÇUCENA","MG","06/2019","67"
"310050","AÇUCENA","MG","07/2019","66"
"310050","AÇUCENA","MG","08/2019","65"
"310050","AÇUCENA","MG","09/2019","66"
"310050","AÇUCENA","MG","10/2019","66"
"310050","AÇUCENA","MG","11/2019","67"
"310050","AÇUCENA","MG","01/2020","69"
"310050","AÇUCENA","MG","02/2020","68"
"310050","AÇUCENA","MG","03/2020","68"
"310050","AÇUCENA","MG","04/2020","70"
"310050","AÇUCENA","MG","05/2020","67"
"310050","AÇUCENA","MG","06/2020","68"
"310050","AÇUCENA","MG","07/2020","67"
"310050","AÇUCENA","MG","08/2020","66"
"310050","AÇUCENA","MG","09/2020","67"
"310050","AÇUCENA","MG","10/2020","67"
"310050","AÇUCENA","MG","11/2020","68"
"310050","AÇUCENA","MG","12/2020","68"
"310050","AÇUCENA","MG","01/2021","67"
"310050","AÇUCENA","MG","02/2021","67"
"310050","AÇUCENA","MG","03/2021","67"
"310050","AÇUCENA","MG","04/2021","65"
"310050","AÇUCENA","MG","05/2021","62"
"310050","AÇUCENA","MG","06/2021","62"
"310050","AÇUCENA","MG","08/2021","63"
"310050","AÇUCENA","MG","09/2021","61"
"310050","AÇUCENA","MG","10/2021","61"
"310050","AÇUCENA","MG","11/2021","60"
"310050","AÇUCENA","MG","12/2021","59"
"310060","ÁGUA BOA","MG","03/2020","75"
"310060","ÁGUA BOA","MG","12/2019","69"
"310060","ÁGUA BOA","MG","06/2018","73"
"310060","ÁGUA BOA","MG","01/2018","71"
"310060","ÁGUA BOA","MG","02/2018","71"
"310060","ÁGUA BOA","MG","05/2018","71"
"310060","ÁGUA BOA","MG","03/2018","70"
"310060","ÁGUA BOA","MG","04/2018","71"
"310060","ÁGUA BOA","MG","07/2018","72"
"310060","ÁGUA BOA","MG","08/2018","72"
"310060","ÁGUA BOA","MG","09/2018","71"
"310060","ÁGUA BOA","MG","10/2018","75"
"310060","ÁGUA BOA","MG","11/2018","75"
"310060","ÁGUA BOA","MG","12/2018","73"
"310060","ÁGUA BOA","MG","01/2019","74"
