"Código","Unidade Territorial","UF","Referência","Valor repassado aos idosos via Benefício de Prestação Continuada (BPC) por município pagador"
"310010","ABADIA DOS DOURADOS","MG","03/2018","71264"
"310010","ABADIA DOS DOURADOS","MG","04/2018","69356"
"310010","ABADIA DOS DOURADOS","MG","05/2018","70310"
"310010","ABADIA DOS DOURADOS","MG","06/2018","69356.00"
"310010","ABADIA DOS DOURADOS","MG","07/2018","70310"
"310010","ABADIA DOS DOURADOS","MG","08/2018","69356"
"310010","ABADIA DOS DOURADOS","MG","09/2018","69356"
"310010","ABADIA DOS DOURADOS","MG","10/2018","69356"
"310010","ABADIA DOS DOURADOS","MG","11/2018","68397.72"
"310010","ABADIA DOS DOURADOS","MG","12/2018","68402"
"310010","ABADIA DOS DOURADOS","MG","01/2019","70858.4"
"310010","ABADIA DOS DOURADOS","MG","02/2019","68862.4"
"310010","ABADIA DOS DOURADOS","MG","03/2019","68862.4"
"310010","ABADIA DOS DOURADOS","MG","04/2019","68862.4"
"310010","ABADIA DOS DOURADOS","MG","05/2019","68862.4"
"310010","ABADIA DOS DOURADOS","MG","12/2019","62874.4"
"310010","ABADIA DOS DOURADOS","MG","06/2019","68862.4"
"310010","ABADIA DOS DOURADOS","MG","07/2019","66866.4"
"310010","ABADIA DOS DOURADOS","MG","08/2019","64870.4"
"310010","ABADIA DOS DOURADOS","MG","09/2019","61876.4"
"310010","ABADIA DOS DOURADOS","MG","10/2019","61876.4"
"310010","ABADIA DOS DOURADOS","MG","11/2019","62880.35"
"310010","ABADIA DOS DOURADOS","MG","08/2021","78100"
"310010","ABADIA DOS DOURADOS","MG","01/2020","65457.7"
"310010","ABADIA DOS DOURADOS","MG","02/2020","62700.5"
"310010","ABADIA DOS DOURADOS","MG","01/2018","73172"
"310010","ABADIA DOS DOURADOS","MG","03/2020","63745.5"
"310010","ABADIA DOS DOURADOS","MG","04/2020","63745.5"
"310010","ABADIA DOS DOURADOS","MG","05/2020","64790.5"
"310010","ABADIA DOS DOURADOS","MG","06/2020","64790.50"
"310010","ABADIA DOS DOURADOS","MG","07/2020","64790.5"
"310010","ABADIA DOS DOURADOS","MG","08/2020","65835.5"
"310010","ABADIA DOS DOURADOS","MG","09/2020","64790.5"
"310010","ABADIA DOS DOURADOS","MG","10/2020","65835.5"
"310010","ABADIA DOS DOURADOS","MG","11/2020","66886.74"
"310010","ABADIA DOS DOURADOS","MG","12/2020","67925.5"
"310010","ABADIA DOS DOURADOS","MG","01/2021","70400"
"310010","ABADIA DOS DOURADOS","MG","02/2021","72600"
"310010","ABADIA DOS DOURADOS","MG","03/2021","72600"
"310010","ABADIA DOS DOURADOS","MG","04/2021","73700"
"310010","ABADIA DOS DOURADOS","MG","05/2021","73700"
"310010","ABADIA DOS DOURADOS","MG","06/2021","77000"
"310010","ABADIA DOS DOURADOS","MG","07/2021","77000"
"310010","ABADIA DOS DOURADOS","MG","09/2021","73700"
"310010","ABADIA DOS DOURADOS","MG","10/2021","74800"
"310010","ABADIA DOS DOURADOS","MG","11/2021","75906.88"
"310010","ABADIA DOS DOURADOS","MG","12/2021","75900"
"310010","ABADIA DOS DOURADOS","MG","02/2018","72218"
"310020","ABAETÉ","MG","09/2021","507100"
"310020","ABAETÉ","MG","11/2021","501639.74"
"310020","ABAETÉ","MG","01/2018","451059.96"
"310020","ABAETÉ","MG","02/2018","456012.12"
"310020","ABAETÉ","MG","03/2018","454104.12"
"310020","ABAETÉ","MG","04/2018","451242.12"
"310020","ABAETÉ","MG","05/2018","454104.12"
"310020","ABAETÉ","MG","06/2018","451242.12"
"310020","ABAETÉ","MG","12/2019","456086.44"
"310020","ABAETÉ","MG","07/2018","450001.92"
"310020","ABAETÉ","MG","08/2018","450955.92"
