"Código","Unidade Territorial","UF","Referência","Valor repassado às pessoas com deficiência (PCD) via Benefício de Prestação Continuada (BPC) por município pagador"
"310010","ABADIA DOS DOURADOS","MG","03/2018","73458"
"310010","ABADIA DOS DOURADOS","MG","04/2018","73458"
"310010","ABADIA DOS DOURADOS","MG","05/2018","74412"
"310010","ABADIA DOS DOURADOS","MG","06/2018","73458.00"
"310010","ABADIA DOS DOURADOS","MG","07/2018","75366"
"310010","ABADIA DOS DOURADOS","MG","08/2018","74412"
"310010","ABADIA DOS DOURADOS","MG","09/2018","73458"
"310010","ABADIA DOS DOURADOS","MG","10/2018","73458"
"310010","ABADIA DOS DOURADOS","MG","11/2018","73456.37"
"310010","ABADIA DOS DOURADOS","MG","12/2018","72504"
"310010","ABADIA DOS DOURADOS","MG","01/2019","75848"
"310010","ABADIA DOS DOURADOS","MG","02/2019","76846"
"310010","ABADIA DOS DOURADOS","MG","03/2019","76846"
"310010","ABADIA DOS DOURADOS","MG","04/2019","76846"
"310010","ABADIA DOS DOURADOS","MG","05/2019","74850"
"310010","ABADIA DOS DOURADOS","MG","12/2019","74850"
"310010","ABADIA DOS DOURADOS","MG","06/2019","75848"
"310010","ABADIA DOS DOURADOS","MG","07/2019","75848"
"310010","ABADIA DOS DOURADOS","MG","08/2019","74850"
"310010","ABADIA DOS DOURADOS","MG","09/2019","72854"
"310010","ABADIA DOS DOURADOS","MG","10/2019","72854"
"310010","ABADIA DOS DOURADOS","MG","11/2019","73866.27"
"310010","ABADIA DOS DOURADOS","MG","08/2021","84700"
"310010","ABADIA DOS DOURADOS","MG","01/2020","77925"
"310010","ABADIA DOS DOURADOS","MG","02/2020","78375"
"310010","ABADIA DOS DOURADOS","MG","01/2018","70596"
"310010","ABADIA DOS DOURADOS","MG","03/2020","78375"
"310010","ABADIA DOS DOURADOS","MG","04/2020","78375"
"310010","ABADIA DOS DOURADOS","MG","05/2020","79420"
"310010","ABADIA DOS DOURADOS","MG","06/2020","79420.00"
"310010","ABADIA DOS DOURADOS","MG","07/2020","79420"
"310010","ABADIA DOS DOURADOS","MG","08/2020","78375"
"310010","ABADIA DOS DOURADOS","MG","09/2020","78375"
"310010","ABADIA DOS DOURADOS","MG","10/2020","78375"
"310010","ABADIA DOS DOURADOS","MG","11/2020","78387.5"
"310010","ABADIA DOS DOURADOS","MG","12/2020","79420"
"310010","ABADIA DOS DOURADOS","MG","01/2021","83600"
"310010","ABADIA DOS DOURADOS","MG","02/2021","83600"
"310010","ABADIA DOS DOURADOS","MG","03/2021","81400"
"310010","ABADIA DOS DOURADOS","MG","04/2021","82500"
"310010","ABADIA DOS DOURADOS","MG","05/2021","83600"
"310010","ABADIA DOS DOURADOS","MG","06/2021","84700"
"310010","ABADIA DOS DOURADOS","MG","07/2021","85800"
"310010","ABADIA DOS DOURADOS","MG","09/2021","84700"
"310010","ABADIA DOS DOURADOS","MG","10/2021","81400"
"310010","ABADIA DOS DOURADOS","MG","11/2021","80311.02"
"310010","ABADIA DOS DOURADOS","MG","12/2021","80300"
"310010","ABADIA DOS DOURADOS","MG","02/2018","73458"
"310020","ABAETÉ","MG","09/2021","618200"
"310020","ABAETÉ","MG","11/2021","608379.88"
"310020","ABAETÉ","MG","01/2018","549027.2"
"310020","ABAETÉ","MG","02/2018","546165.2"
"310020","ABAETÉ","MG","03/2018","548073.2"
"310020","ABAETÉ","MG","04/2018","547119.2"
"310020","ABAETÉ","MG","05/2018","548390.47"
"310020","ABAETÉ","MG","06/2018","551459.90"
"310020","ABAETÉ","MG","12/2019","580836.4"
"310020","ABAETÉ","MG","07/2018","553367.9"
"310020","ABAETÉ","MG","08/2018","558137.9"
"310020","ABAETÉ","MG","09/2018","560999.9"
"310020","ABAETÉ","MG","10/2018","563861.9"
"310020","ABAETÉ","MG","11/2018","568610.6"
"310020","ABAETÉ","MG","12/2018","571255.4"
"310020","ABAETÉ","MG","01/2019","597802.4"
"310020","ABAETÉ","MG","02/2019","599798.4"
"310020","ABAETÉ","MG","03/2019","599798.4"
"310020","ABAETÉ","MG","04/2019","595806.4"
"310020","ABAETÉ","MG","05/2019","595806.4"
"310020","ABAETÉ","MG","06/2019","594808.4"
"310020","ABAETÉ","MG","07/2019","590816.4"
"310020","ABAETÉ","MG","08/2019","585826.4"
"310020","ABAETÉ","MG","09/2019","581834.4"
"310020","ABAETÉ","MG","10/2019","583830.4"
"310020","ABAETÉ","MG","12/2021","606100"
"310020","ABAETÉ","MG","11/2019","584924.53"
"310020","ABAETÉ","MG","01/2020","595347"
"310020","ABAETÉ","MG","02/2020","596695"
"310020","ABAETÉ","MG","03/2020","591470"
"310020","ABAETÉ","MG","04/2020","601920"
"310020","ABAETÉ","MG","05/2020","602965"
"310020","ABAETÉ","MG","06/2020","602965.00"
"310020","ABAETÉ","MG","07/2020","601920"
"310020","ABAETÉ","MG","08/2020","602965"
"310020","ABAETÉ","MG","09/2020","595650"
"310020","ABAETÉ","MG","10/2020","595650"
"310020","ABAETÉ","MG","11/2020","592602.83"
"310020","ABAETÉ","MG","12/2020","589380"
"310020","ABAETÉ","MG","01/2021","621500"
"310020","ABAETÉ","MG","02/2021","618200"
"310020","ABAETÉ","MG","03/2021","620400"
"310020","ABAETÉ","MG","04/2021","617100"
"310020","ABAETÉ","MG","05/2021","617100"
"310020","ABAETÉ","MG","06/2021","620400"
"310020","ABAETÉ","MG","07/2021","614900"
"310020","ABAETÉ","MG","08/2021","617100"
"310020","ABAETÉ","MG","10/2021","616000"
"310030","ABRE CAMPO","MG","10/2018","259316.88"
"310030","ABRE CAMPO","MG","12/2019","270458.2"
"310030","ABRE CAMPO","MG","01/2018","247868.88"
"310030","ABRE CAMPO","MG","02/2018","247868.88"
"310030","ABRE CAMPO","MG","03/2018","249776.88"
"310030","ABRE CAMPO","MG","04/2018","249776.88"
"310030","ABRE CAMPO","MG","05/2018","248822.88"
"310030","ABRE CAMPO","MG","06/2018","253592.88"
"310030","ABRE CAMPO","MG","07/2018","258362.88"
"310030","ABRE CAMPO","MG","08/2018","258362.88"
"310030","ABRE CAMPO","MG","09/2018","258362.88"
"310030","ABRE CAMPO","MG","11/2018","261215.03"
"310030","ABRE CAMPO","MG","12/2018","259316.88"
"310030","ABRE CAMPO","MG","01/2019","269460.2"
"310030","ABRE CAMPO","MG","02/2019","270458.2"
"310030","ABRE CAMPO","MG","03/2019","268462.2"
"310030","ABRE CAMPO","MG","04/2019","271456.2"
"310030","ABRE CAMPO","MG","05/2019","273452.2"
"310030","ABRE CAMPO","MG","06/2019","270458.2"
"310030","ABRE CAMPO","MG","07/2019","270458.2"
"310030","ABRE CAMPO","MG","08/2019","270458.2"
"310030","ABRE CAMPO","MG","09/2019","268462.2"
"310030","ABRE CAMPO","MG","10/2019","270458.2"
"310030","ABRE CAMPO","MG","11/2019","270526.17"
"310030","ABRE CAMPO","MG","01/2020","280530.6"
"310030","ABRE CAMPO","MG","02/2020","281105"
"310030","ABRE CAMPO","MG","03/2020","279015"
"310030","ABRE CAMPO","MG","04/2020","279015"
"310030","ABRE CAMPO","MG","05/2020","280060"
"310030","ABRE CAMPO","MG","06/2020","276925.00"
"310030","ABRE CAMPO","MG","07/2020","275880"
"310030","ABRE CAMPO","MG","08/2020","275880"
"310030","ABRE CAMPO","MG","09/2020","273790"
"310030","ABRE CAMPO","MG","10/2020","273790"
"310030","ABRE CAMPO","MG","11/2020","274901.23"
"310030","ABRE CAMPO","MG","12/2020","273790"
"310030","ABRE CAMPO","MG","01/2021","287100"
"310030","ABRE CAMPO","MG","02/2021","287100"
"310030","ABRE CAMPO","MG","03/2021","286000"
"310030","ABRE CAMPO","MG","04/2021","282700"
"310030","ABRE CAMPO","MG","05/2021","283800"
"310030","ABRE CAMPO","MG","06/2021","284900"
"310030","ABRE CAMPO","MG","07/2021","287100"
"310030","ABRE CAMPO","MG","08/2021","288200"
"310030","ABRE CAMPO","MG","09/2021","283800"
"310030","ABRE CAMPO","MG","10/2021","280500"
"310030","ABRE CAMPO","MG","11/2021","277260.31"
"310030","ABRE CAMPO","MG","12/2021","273900"
"310040","ACAIACA","MG","06/2018","28620.00"
"310040","ACAIACA","MG","12/2021","30800"
"310040","ACAIACA","MG","01/2018","30528"
"310040","ACAIACA","MG","02/2018","29574"
"310040","ACAIACA","MG","03/2018","29574"
"310040","ACAIACA","MG","04/2018","28620"
"310040","ACAIACA","MG","05/2018","28620"
"310040","ACAIACA","MG","07/2018","28620"
"310040","ACAIACA","MG","08/2018","28620"
"310040","ACAIACA","MG","12/2019","31936"
"310040","ACAIACA","MG","09/2018","27666"
"310040","ACAIACA","MG","10/2018","27666"
"310040","ACAIACA","MG","11/2018","27666"
"310040","ACAIACA","MG","12/2018","27666"
"310040","ACAIACA","MG","01/2019","28942"
"310040","ACAIACA","MG","02/2019","30938"
"310040","ACAIACA","MG","03/2019","30938"
"310040","ACAIACA","MG","04/2019","30938"
"310040","ACAIACA","MG","05/2019","31936"
"310040","ACAIACA","MG","06/2019","31936"
"310040","ACAIACA","MG","07/2019","31936"
"310040","ACAIACA","MG","08/2019","31936"
"310040","ACAIACA","MG","09/2019","31936"
"310040","ACAIACA","MG","10/2019","32934"
"310040","ACAIACA","MG","11/2019","31941.24"
"310040","ACAIACA","MG","01/2020","30131"
"310040","ACAIACA","MG","02/2020","30305"
"310040","ACAIACA","MG","03/2020","30305"
"310040","ACAIACA","MG","04/2020","30305"
"310040","ACAIACA","MG","05/2020","31350"
"310040","ACAIACA","MG","06/2020","30305.00"
"310040","ACAIACA","MG","07/2020","30305"
"310040","ACAIACA","MG","08/2020","30305"
"310040","ACAIACA","MG","09/2020","30305"
"310040","ACAIACA","MG","10/2020","30305"
"310040","ACAIACA","MG","11/2020","30306.38"
"310040","ACAIACA","MG","12/2020","30305"
"310040","ACAIACA","MG","01/2021","31900"
"310040","ACAIACA","MG","02/2021","30800"
"310040","ACAIACA","MG","03/2021","30800"
"310040","ACAIACA","MG","04/2021","30800"
"310040","ACAIACA","MG","05/2021","29700"
"310040","ACAIACA","MG","06/2021","30800"
"310040","ACAIACA","MG","07/2021","29700"
"310040","ACAIACA","MG","08/2021","29700"
"310040","ACAIACA","MG","09/2021","31900"
"310040","ACAIACA","MG","10/2021","31900"
"310040","ACAIACA","MG","11/2021","31900.94"
"310050","AÇUCENA","MG","06/2021","116600"
"310050","AÇUCENA","MG","01/2018","109710.4"
"310050","AÇUCENA","MG","02/2018","112572.4"
"310050","AÇUCENA","MG","03/2018","116388.4"
"310050","AÇUCENA","MG","04/2018","116388.4"
"310050","AÇUCENA","MG","05/2018","117342"
"310050","AÇUCENA","MG","06/2018","117342.00"
"310050","AÇUCENA","MG","07/2018","117914.4"
"310050","AÇUCENA","MG","08/2018","116960.4"
"310050","AÇUCENA","MG","09/2018","116388"
"310050","AÇUCENA","MG","10/2018","117914.4"
"310050","AÇUCENA","MG","11/2018","117626.9"
"310050","AÇUCENA","MG","12/2018","117817.73"
"310050","AÇUCENA","MG","01/2019","121756"
"310050","AÇUCENA","MG","02/2019","120758"
"310050","AÇUCENA","MG","03/2019","117764"
"310050","AÇUCENA","MG","04/2019","118762"
"310050","AÇUCENA","MG","05/2019","116766"
"310050","AÇUCENA","MG","06/2019","118762.4"
"310050","AÇUCENA","MG","07/2019","118762.4"
"310050","AÇUCENA","MG","08/2019","120758"
"310050","AÇUCENA","MG","09/2019","119760"
"310050","AÇUCENA","MG","10/2019","118762"
"310050","AÇUCENA","MG","11/2019","118776.47"
"310050","AÇUCENA","MG","01/2020","121563"
"310050","AÇUCENA","MG","02/2020","122265"
"310050","AÇUCENA","MG","03/2020","121220.32"
"310050","AÇUCENA","MG","04/2020","120175.5"
"310050","AÇUCENA","MG","05/2020","120175.5"
"310050","AÇUCENA","MG","06/2020","120175.50"
"310050","AÇUCENA","MG","07/2020","119130.5"
"310050","AÇUCENA","MG","08/2020","118085.5"
"310050","AÇUCENA","MG","09/2020","115995.5"
"310050","AÇUCENA","MG","10/2020","114950"
"310050","AÇUCENA","MG","11/2020","112866.89"
"310050","AÇUCENA","MG","12/2020","112860"
"310050","AÇUCENA","MG","01/2021","117700"
"310050","AÇUCENA","MG","02/2021","118800"
"310050","AÇUCENA","MG","03/2021","117700"
"310050","AÇUCENA","MG","04/2021","115500"
"310050","AÇUCENA","MG","05/2021","115500"
"310050","AÇUCENA","MG","07/2021","116600"
"310050","AÇUCENA","MG","08/2021","117700"
"310050","AÇUCENA","MG","09/2021","116600"
"310050","AÇUCENA","MG","10/2021","113300"
"310050","AÇUCENA","MG","12/2021","107800"
"310050","AÇUCENA","MG","12/2019","117764"
"310050","AÇUCENA","MG","11/2021","107804.8"
"310060","ÁGUA BOA","MG","01/2018","155025"
"310060","ÁGUA BOA","MG","02/2018","154071"
"310060","ÁGUA BOA","MG","12/2021","200200"
"310060","ÁGUA BOA","MG","03/2018","154071"
"310060","ÁGUA BOA","MG","04/2018","155025"
"310060","ÁGUA BOA","MG","05/2018","157887"
"310060","ÁGUA BOA","MG","06/2018","158841.00"
"310060","ÁGUA BOA","MG","07/2018","159795"
"310060","ÁGUA BOA","MG","08/2018","159795"
"310060","ÁGUA BOA","MG","09/2018","159795"
"310060","ÁGUA BOA","MG","10/2018","160749"
"310060","ÁGUA BOA","MG","11/2018","163606.74"
"310060","ÁGUA BOA","MG","08/2021","196900"
"310060","ÁGUA BOA","MG","12/2018","165519"
"310060","ÁGUA BOA","MG","01/2019","172654"
"310060","ÁGUA BOA","MG","02/2019","172654"
"310060","ÁGUA BOA","MG","03/2019","171656"
"310060","ÁGUA BOA","MG","04/2019","172654"
"310060","ÁGUA BOA","MG","05/2019","174650"
"310060","ÁGUA BOA","MG","06/2019","172654"
"310060","ÁGUA BOA","MG","07/2019","171656"
"310060","ÁGUA BOA","MG","12/2019","171656"
"310060","ÁGUA BOA","MG","08/2019","170658"
"310060","ÁGUA BOA","MG","09/2019","170658"
"310060","ÁGUA BOA","MG","10/2019","170658"
"310060","ÁGUA BOA","MG","11/2019","169693.8"
"310060","ÁGUA BOA","MG","01/2020","177669.5"
"310060","ÁGUA BOA","MG","02/2020","180785.5"
"310060","ÁGUA BOA","MG","03/2020","173470.5"
"310060","ÁGUA BOA","MG","11/2021","198026.73"
"310060","ÁGUA BOA","MG","04/2020","175560.5"
"310060","ÁGUA BOA","MG","05/2020","175560.5"
"310060","ÁGUA BOA","MG","06/2020","175560.50"
"310060","ÁGUA BOA","MG","07/2020","175560.5"
"310060","ÁGUA BOA","MG","08/2020","175560.5"
"310060","ÁGUA BOA","MG","09/2020","178695.5"
"310060","ÁGUA BOA","MG","10/2020","180785.5"
"310060","ÁGUA BOA","MG","09/2021","191400"
"310060","ÁGUA BOA","MG","11/2020","180815.73"
"310060","ÁGUA BOA","MG","12/2020","182876"
"310060","ÁGUA BOA","MG","01/2021","193600"
"310060","ÁGUA BOA","MG","02/2021","193600"
"310060","ÁGUA BOA","MG","10/2021","198000.26"
"310060","ÁGUA BOA","MG","03/2021","193600"
"310060","ÁGUA BOA","MG","04/2021","194700"
"310060","ÁGUA BOA","MG","05/2021","194700"
"310060","ÁGUA BOA","MG","06/2021","196900"
"310060","ÁGUA BOA","MG","07/2021","198000"
"310070","ÁGUA COMPRIDA","MG","10/2019","7984"
"310070","ÁGUA COMPRIDA","MG","12/2021","9900"
"310070","ÁGUA COMPRIDA","MG","11/2021","9901.01"
"310070","ÁGUA COMPRIDA","MG","10/2021","9900"
"310070","ÁGUA COMPRIDA","MG","09/2021","9900"
"310070","ÁGUA COMPRIDA","MG","08/2021","8800"
"310070","ÁGUA COMPRIDA","MG","07/2021","8800"
"310070","ÁGUA COMPRIDA","MG","06/2021","8800"
"310070","ÁGUA COMPRIDA","MG","05/2021","9900"
"310070","ÁGUA COMPRIDA","MG","04/2021","9900"
"310070","ÁGUA COMPRIDA","MG","03/2021","9900"
"310070","ÁGUA COMPRIDA","MG","02/2021","9900"
"310070","ÁGUA COMPRIDA","MG","01/2021","11000"
"310070","ÁGUA COMPRIDA","MG","12/2020","10450"
"310070","ÁGUA COMPRIDA","MG","11/2020","10451.01"
"310070","ÁGUA COMPRIDA","MG","10/2020","10450"
"310070","ÁGUA COMPRIDA","MG","09/2020","10450"
"310070","ÁGUA COMPRIDA","MG","08/2020","10450"
"310070","ÁGUA COMPRIDA","MG","07/2020","10450"
"310070","ÁGUA COMPRIDA","MG","06/2020","9405.00"
"310070","ÁGUA COMPRIDA","MG","05/2020","9405"
"310070","ÁGUA COMPRIDA","MG","04/2020","9405"
"310070","ÁGUA COMPRIDA","MG","03/2020","9405"
"310070","ÁGUA COMPRIDA","MG","02/2020","8360"
"310070","ÁGUA COMPRIDA","MG","01/2020","8312"
"310070","ÁGUA COMPRIDA","MG","11/2019","7984.94"
"310070","ÁGUA COMPRIDA","MG","09/2019","7984"
"310070","ÁGUA COMPRIDA","MG","08/2019","7984"
"310070","ÁGUA COMPRIDA","MG","07/2019","7984"
"310070","ÁGUA COMPRIDA","MG","06/2019","7984"
"310070","ÁGUA COMPRIDA","MG","05/2019","7984"
"310070","ÁGUA COMPRIDA","MG","04/2019","7984"
"310070","ÁGUA COMPRIDA","MG","03/2019","7984"
"310070","ÁGUA COMPRIDA","MG","02/2019","7984"
"310070","ÁGUA COMPRIDA","MG","01/2019","7984"
"310070","ÁGUA COMPRIDA","MG","12/2018","7632"
"310070","ÁGUA COMPRIDA","MG","11/2018","7632"
"310070","ÁGUA COMPRIDA","MG","10/2018","7632"
"310070","ÁGUA COMPRIDA","MG","09/2018","8586"
"310070","ÁGUA COMPRIDA","MG","08/2018","7632"
"310070","ÁGUA COMPRIDA","MG","07/2018","7632"
"310070","ÁGUA COMPRIDA","MG","06/2018","7632.00"
"310070","ÁGUA COMPRIDA","MG","05/2018","7632"
"310070","ÁGUA COMPRIDA","MG","04/2018","7632"
"310070","ÁGUA COMPRIDA","MG","03/2018","7632"
"310070","ÁGUA COMPRIDA","MG","02/2018","7632"
"310070","ÁGUA COMPRIDA","MG","01/2018","7632"
"310070","ÁGUA COMPRIDA","MG","12/2019","7984"
"310080","AGUANIL","MG","06/2019","23952"
"310080","AGUANIL","MG","05/2019","23952"
"310080","AGUANIL","MG","04/2019","23952"
"310080","AGUANIL","MG","03/2019","22954"
"310080","AGUANIL","MG","02/2019","23952"
"310080","AGUANIL","MG","03/2020","26125"
"310080","AGUANIL","MG","01/2019","23952"
"310080","AGUANIL","MG","12/2018","23850"
"310080","AGUANIL","MG","11/2018","23850"
"310080","AGUANIL","MG","10/2018","24804"
"310080","AGUANIL","MG","09/2018","24804"
"310080","AGUANIL","MG","08/2018","24804"
"310080","AGUANIL","MG","07/2018","24804"
"310080","AGUANIL","MG","06/2018","25758.00"
"310080","AGUANIL","MG","05/2018","25758"
"310080","AGUANIL","MG","04/2018","25758"
"310080","AGUANIL","MG","12/2019","26946"
"310080","AGUANIL","MG","03/2018","25758"
"310080","AGUANIL","MG","02/2018","26712"
"310080","AGUANIL","MG","01/2018","25758"
"310080","AGUANIL","MG","11/2019","25952.89"
"310080","AGUANIL","MG","09/2021","29700"
"310080","AGUANIL","MG","11/2021","31901.35"
"310080","AGUANIL","MG","04/2020","26125"
"310080","AGUANIL","MG","02/2020","26125"
"310080","AGUANIL","MG","05/2020","27170"
"310080","AGUANIL","MG","06/2020","26125.00"
"310080","AGUANIL","MG","07/2020","26125"
"310080","AGUANIL","MG","08/2020","26125"
"310080","AGUANIL","MG","09/2020","26125"
"310080","AGUANIL","MG","10/2020","26125"
"310080","AGUANIL","MG","11/2020","27171.79"
"310080","AGUANIL","MG","12/2020","25080"
"310080","AGUANIL","MG","01/2021","26400"
"310080","AGUANIL","MG","02/2021","26400"
"310080","AGUANIL","MG","03/2021","27500"
"310080","AGUANIL","MG","04/2021","27500"
"310080","AGUANIL","MG","05/2021","28600"
"310080","AGUANIL","MG","06/2021","28600"
"310080","AGUANIL","MG","07/2021","28600"
"310080","AGUANIL","MG","01/2020","27014"
"310080","AGUANIL","MG","10/2019","23952"
"310080","AGUANIL","MG","08/2021","29700"
"310080","AGUANIL","MG","09/2019","23952"
"310080","AGUANIL","MG","08/2019","23952"
"310080","AGUANIL","MG","12/2021","30800"
