"Código","Unidade Territorial","UF","Referência","Famílias Beneficiárias","Valor Total Repassado","Valor Médio dos Benefícios"
"310010","ABADIA DOS DOURADOS","MG","08/2019","279","40113","143.77"
"310010","ABADIA DOS DOURADOS","MG","06/2021","272","10776","39.62"
"310010","ABADIA DOS DOURADOS","MG","12/2019","245","34731","141.76"
"310010","ABADIA DOS DOURADOS","MG","10/2021","270","11555","42.80"
"310010","ABADIA DOS DOURADOS","MG","01/2018","331","43427","131.20"
"310010","ABADIA DOS DOURADOS","MG","02/2018","329","42525","129.26"
"310010","ABADIA DOS DOURADOS","MG","03/2018","329","42319","128.63"
"310010","ABADIA DOS DOURADOS","MG","04/2018","304","39215","129.00"
"310010","ABADIA DOS DOURADOS","MG","05/2018","310","40787","131.57"
"310010","ABADIA DOS DOURADOS","MG","06/2018","304","39916","131.30"
"310010","ABADIA DOS DOURADOS","MG","07/2018","300","41281","137.60"
"310010","ABADIA DOS DOURADOS","MG","08/2018","303","42506","140.28"
"310010","ABADIA DOS DOURADOS","MG","09/2018","296","40715","137.55"
"310010","ABADIA DOS DOURADOS","MG","10/2018","302","41897","138.73"
"310010","ABADIA DOS DOURADOS","MG","11/2018","305","42723","140.08"
"310010","ABADIA DOS DOURADOS","MG","12/2018","283","39493","139.55"
"310010","ABADIA DOS DOURADOS","MG","01/2019","284","39026","137.42"
"310010","ABADIA DOS DOURADOS","MG","02/2019","291","40815.00","140.26"
"310010","ABADIA DOS DOURADOS","MG","03/2019","293","40601","138.57"
"310010","ABADIA DOS DOURADOS","MG","03/2021","273","37047","135.70"
"310010","ABADIA DOS DOURADOS","MG","04/2019","288","39519.00","137.22"
"310010","ABADIA DOS DOURADOS","MG","05/2019","291","40032","137.57"
"310010","ABADIA DOS DOURADOS","MG","06/2019","285","38712","135.83"
"310010","ABADIA DOS DOURADOS","MG","07/2019","271","37895","139.83"
"310010","ABADIA DOS DOURADOS","MG","08/2021","270","11233","41.60"
"310010","ABADIA DOS DOURADOS","MG","07/2021","272","11214","41.23"
"310010","ABADIA DOS DOURADOS","MG","04/2021","272","10037","36.90"
"310010","ABADIA DOS DOURADOS","MG","05/2021","272","10338","38.01"
"310010","ABADIA DOS DOURADOS","MG","09/2019","258","36744","142.42"
"310010","ABADIA DOS DOURADOS","MG","10/2019","254","35691","140.52"
"310010","ABADIA DOS DOURADOS","MG","11/2019","245","37990","155.06"
"310010","ABADIA DOS DOURADOS","MG","01/2020","262","35638.00","136.02"
"310010","ABADIA DOS DOURADOS","MG","02/2020","254","35669","140.43"
"310010","ABADIA DOS DOURADOS","MG","03/2020","251","34829","138.76"
"310010","ABADIA DOS DOURADOS","MG","04/2020","255","2551","10.00"
"310010","ABADIA DOS DOURADOS","MG","05/2020","258","3160","12.25"
"310010","ABADIA DOS DOURADOS","MG","06/2020","258","2770","10.74"
"310010","ABADIA DOS DOURADOS","MG","07/2020","258","2640","10.23"
"310010","ABADIA DOS DOURADOS","MG","08/2020","258","2469","9.57"
"310010","ABADIA DOS DOURADOS","MG","09/2020","258","4305","16.69"
"310010","ABADIA DOS DOURADOS","MG","10/2020","258","4346","16.84"
"310010","ABADIA DOS DOURADOS","MG","11/2020","258","4606","17.85"
"310010","ABADIA DOS DOURADOS","MG","12/2020","258","5377","20.84"
"310010","ABADIA DOS DOURADOS","MG","01/2021","254","35351","139.18"
"310010","ABADIA DOS DOURADOS","MG","02/2021","270","36727","136.03"
"310010","ABADIA DOS DOURADOS","MG","09/2021","270","11247","41.66"
"310020","ABAETÉ","MG","08/2021","856","66808","78.05"
"310020","ABAETÉ","MG","07/2021","857","65599","76.54"
"310020","ABAETÉ","MG","06/2021","857","64933","75.77"
"310020","ABAETÉ","MG","05/2021","857","64405","75.15"
"310020","ABAETÉ","MG","04/2021","857","64098","74.79"
"310020","ABAETÉ","MG","03/2021","793","111019","140.00"
"310020","ABAETÉ","MG","02/2021","796","111361","139.90"
"310020","ABAETÉ","MG","01/2021","632","97054","153.57"
"310020","ABAETÉ","MG","12/2020","634","13573","21.41"
"310020","ABAETÉ","MG","11/2020","634","13186","20.80"
"310020","ABAETÉ","MG","10/2020","634","12761","20.13"
"310020","ABAETÉ","MG","09/2020","634","11261","17.76"
"310020","ABAETÉ","MG","08/2020","633","4283","6.77"
"310020","ABAETÉ","MG","10/2021","856","68466","79.98"
